truth_table_hex,distance,canonical_expression,neighbour_count,failing_neighbour_count,rigidity
ff6c,3,"O(X(A(x0,x2),x1),x3)",25,24,0.95999999999999996
ff77,3,"O(N(A(x0,x1)),x3)",16,15,0.9375
ff78,3,"O(X(A(x0,x1),x2),x3)",25,24,0.95999999999999996
ff80,3,"O(A(A(x0,x1),x2),x3)",22,21,0.95454545454545459
ff96,3,"O(X(X(x0,x1),x2),x3)",23,22,0.95652173913043481
ff99,3,"O(N(X(x0,x1)),x3)",18,17,0.94444444444444442
ffa5,3,"O(N(X(x0,x2)),x3)",18,18,1
ffa8,3,"O(A(O(x1,x2),x0),x3)",25,22,0.88
ffaf,3,"O(N(x2),O(x0,x3))",16,13,0.8125
ffbb,3,"O(N(x1),O(x0,x3))",16,14,0.875
ffbe,3,"O(O(X(x1,x2),x0),x3)",21,18,0.8571428571428571
ffc3,3,"O(N(X(x1,x2)),x3)",18,17,0.94444444444444442
ffc8,3,"O(A(O(x0,x2),x1),x3)",25,21,0.83999999999999997
ffcf,3,"O(N(x2),O(x1,x3))",16,9,0.5625
ffdd,3,"O(N(x0),O(x1,x3))",16,12,0.75
ffde,3,"O(O(X(x0,x2),x1),x3)",21,11,0.52380952380952384
ffe0,3,"O(A(O(x0,x1),x2),x3)",25,22,0.88
ffea,3,"O(A(x1,x2),O(x0,x3))",23,18,0.78260869565217395
ffec,3,"O(A(x0,x2),O(x1,x3))",23,14,0.60869565217391308
fff3,3,"O(N(x1),O(x2,x3))",16,14,0.875
fff5,3,"O(N(x0),O(x2,x3))",16,14,0.875
fff6,3,"O(O(X(x0,x1),x2),x3)",21,18,0.8571428571428571
fff8,3,"O(A(x0,x1),O(x2,x3))",23,17,0.73913043478260865
fffe,3,"O(O(O(x0,x1),x2),x3)",18,10,0.55555555555555558
0001,4,"N(O(O(O(x0,x1),x2),x3))",18,10,0.55555555555555558
0002,4,"A(N(O(O(x1,x2),x3)),x0)",18,13,0.72222222222222221
0004,4,"A(N(O(O(x0,x2),x3)),x1)",18,15,0.83333333333333337
0006,4,"A(N(O(x2,x3)),X(x0,x1))",22,17,0.77272727272727271
0007,4,"N(O(A(x0,x1),O(x2,x3)))",23,17,0.73913043478260865
